product_id,name,price,category,image_url,stock,exp_date
11,Dalat Hasfarm [Hàng Đặt Trước] Chậu Hoa Mini Mẫu 2 (Mini Kép Sứ) (Giao Màu Ngẫu Nhiên),69000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTUtMTAgSE9BIE5FVw==/MDExODYwNDggKDMp.jpg,840,2026-04-11
12,Dalat Hasfarm [Hàng Đặt Trước] Bó Hoa Điệp Vũ S,249000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTUtMTAgSE9BIE5FVw==/MDExODYwMDA=.jpg,692,2026-06-01
13,AVN Canh Chua Cá Lóc 750g,49000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MDA3MDg5NDQ=.jpg,333,2025-10-09
14,Vườn Rau Đà Lạt Giỏ Sen Đá (Nắng Mai Rạng Rỡ),279000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTA4ODE3NTA=.jpg,134,2025-12-22
15,Hoàn Mỹ Chậu Sen Đá Thạch Bích,199000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTA4NzgzMDk=.jpg,649,2025-11-30
16,Hoàn Mỹ Chậu Sen Đá Thiên Nga,239000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTA4NzgyOTM=.jpg,137,2026-02-08
17,Sen Ta Khoai Môn Gọt Vỏ 400g,35000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MDQ3MjAwNzI=.jpg,542,2025-10-11
18,Hồng Nam Cá Đù 1 Nắng (13-17) Hồng Nam 500g,85000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/MTA4NzgxMTg=.jpg,631,2025-10-21
19,TPS Ba Chỉ Heo TPS 500g,115000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/U0VQVEVNQkVS/MTA4NTQ5MDc=.jpg,403,2026-05-22
20,TTC Lõi Vai Bò Mỹ Cắt Nướng 250g,185000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/RklYIDE0LTEw/MTA3NzEwMTM=.jpg,183,2026-04-18
21,TTC Lõi Vai Bò Mỹ Cắt Lát 250g,169000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/T0NU/RklYIDE0LTEw/MTA3NzEwMDY=.jpg,938,2026-05-14
22,Ba Huân Gói 2 Trứng Gà Ăn Liền Vị Xông Khói 40g,17000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/U0VQVEVNQkVS/MTA2ODAyMjM=.jpg,447,2026-04-14
23,Ba Huân Gói 2 Trứng Gà Ăn Liền Vị Thảo Mộc 40g,17000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/U0VQVEVNQkVS/MTA2ODAyMTY=.jpg,301,2026-02-02
24,Ba Huân Gói 2 Trứng Gà Ăn Liền Vị Tiềm Cay 40g,17000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/U0VQVEVNQkVS/MTA2ODAyMDk=.jpg,713,2025-11-21
25,Biovegi Táo Dazzle New Zealand Túi 1kg,149000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/U0VQVEVNQkVS/MTA1NjE5NDIgKDEp.jpg,381,2026-05-05
26,AVN Combo Seafood Tiết Kiệm 4,410000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/U0VQ/MDA3MTc2MDEgKDIp.jpg,190,2025-12-21
27,TOPVALU Trứng Gà Size M Hộp 10 Quả 520g,27000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/VE9QVkFMVSBGUkFNRSAy/MDkzMDMxMjY=.jpg,500,2026-02-10
28,Vị Nguyên Đậu Hũ Non,9000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/MjAyNA==/SkFOVUFSWQ==/MDEyOTYxODEgKDIp.jpg,748,2025-10-28
29,AVN Hành Lá,10000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/QVBS/MDUyMzUzNDY=.jpg,968,2025-12-14
30,AVN Thịt Heo Xay,13000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/MjAyMw==/QVVHVVNU/MDA2MDU2NDk=.jpg,502,2025-11-29
31,AVN Bông Cải Xanh Đà Lạt,27000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Q-G6qE0gVEjGrw==/SMOsbmggQm94ZWQgQm9zdW5n/MDYwMzQwNDc=.jpg,189,2026-05-01
32,AVN Ổi Giống Đài Loan Ruột Hồng,19000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/MjAyNA==/RkVCUlVBUlk=/MDUzMjQyMzE=.png,462,2025-09-11
33,AVN Fillet Cá Hồi,195000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/SlVO/MDA3MDkzOTI=.jpg,885,2026-05-14
34,AVN Bí Ngòi Xanh 250-350g/Trái,22000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/TUFS/MDQ5OTY1NzYgKDIp.png,891,2026-03-05
35,AVN Xà Lách Thủy Tinh Đà Lạt 220g,14000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/QVBS/MDQ4MTkyOTUgKDEp.jpg,556,2026-03-21
36,AVN Nho Xanh Không Hạt Mỹ,119000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/T0NU/MDA4MTM4OTE=.jpg,116,2026-05-30
37,AVN Dưa Leo Baby Đà Lạt 500g,25000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Rk9PRCZLSURfSEnhu4BO/MDI3MzI3NDk=.jpg,124,2026-04-22
38,AVN Kiwi Vàng New Zealand Chín Hộp 4 Trái (Size 22),99000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/MjAyMw==/T0NUT0JFUg==/MDkzNzk0NjY=.jpg,838,2026-04-05
39,AVN Cải Thìa,16000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/MjAyMw==/T0NUT0JFUg==/MDEwMjI4NTg=.jpg,825,2025-12-10
40,AVN Đậu Cove Đà Lạt,18000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/QVBS/MDMxMjkyOTY=.jpg,147,2025-12-12
41,Rồng Đỏ Combo 3 Trái Dừa Xiêm Xanh Túi Lưới,35000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/REVD/MDk4MDU0MjIgKDEp.jpg,862,2026-02-10
42,AVN Cải Bó Xôi 300g,32000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Rk9PRCZLSURfSEnhu4BO/MDUyMzk0NTA=.jpg,413,2026-01-14
43,AVN Thịt Heo Xay,39000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Rk9PRCZLSURfSEnhu4BO/MDA2MTgyMzY=.jpg,356,2025-10-26
44,AVN Rau Muống 300g,15000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/MDEwODQxMzk=.jpg,665,2025-11-13
45,AVN Cà Chua Đà Lạt,27000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/TUFS/MDQ0MzE5ODUgKDEp.png,653,2026-01-21
46,Ba Huân Trứng Gà Size L Hộp 10 Quả,33500,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Tkfhu4xDIExJw4pO/Rk9PRCZLSURfTEnDik4gKDEp/MDExNzA2NDE=.jpg,957,2026-03-03
47,AVN Thanh Long Ruột Đỏ,29000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/T0NU/MDA4MjA3MDcgKDEp.jpg,131,2026-05-03
48,3F Đùi Tỏi Gà,65000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Rk9PRCZLSURfSEnhu4BO/MDQ3MTU4MDE=.jpg,812,2026-04-03
49,AVN Bắp Mỹ Cặp,20000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/TUFS/MDE0NDg4MDE=.png,721,2026-03-24
50,Ba Huân Hộp 10 Quả Trứng Gà Thảo Dược,32000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/QVVHVVNU/MTA3NzIwNzI=.jpg,722,2026-04-09
51,AVN Cà Rốt Đà Lạt,22000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/TUFS/MDM4NjY1MTE=.png,512,2026-04-29
52,AVN Bò Cắt Xào,99000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/MjAyMw==/QVVHVVNU/MDA2MDcxOTM=.jpg,263,2025-09-18
53,AVN Bắp Cải Trái Tim Đà Lạt,14000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/QVBS/MDA4MTk3MzIgKDEp.png,123,2025-11-22
54,AVN Ổi Giống Đài Loan,25000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/Tk9W/MDYwMzQ1MjggKDEp.png,772,2025-10-15
55,AVN Nho Xanh Không Hạt Mỹ,239000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/T0NU/MDA4MTQwMDM=.jpg,379,2025-11-11
56,AVN Ớt Hiểm,7000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Rk9PRCZLSURfSEnhu4BO/MDMwMTEzMjQ=.jpg,208,2026-05-15
57,TOPVALU Trứng Gà Tươi Loại 1 Hộp 10 Quả 600g,30000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/VE9QVkFMVSBGUkFNRSAy/MDU3NzYwMDk=.jpg,467,2025-12-17
58,AVN Hành Lá Và Ngò Rí,10000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/QVBS/MDU1NjM1MDA=.jpg,493,2025-12-24
59,AVN Đậu Bắp 200g,10000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Rk9PRCZLSURfTEnDik4=/TGllbg==/Rk9PRCZLSURfTEnDik4=/TGllbg==/MDMxMjc3Mjg=.png,631,2026-05-18
60,TOPVALU Chanh Không Hạt Khay 300g,12000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/VE9QVkFMVSBGUkFNRSAx/MTAyOTQ5MjU=.jpg,338,2025-09-16
61,AVN Củ Gừng,10000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Rk9PRCZLSURfSEnhu4BO/MDQ1NDk2MDQ=.jpg,528,2025-10-24
62,Ba Huân Trứng Gà Size XL Hộp 10 Quả,33000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Tkfhu4xDIExJw4pO/Rk9PRCZLSURfTEnDik4gKDMp/MDcxOTQyNDU=.jpg,518,2026-05-29
63,AVN Rau Mồng Tơi,15000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/MjAyMw==/QVVHVVNU/MDEwODA4Mjc=.png,588,2026-05-01
64,Song Khang Nấm Đùi Gà Baby Hàn Quốc,35000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/QVBS/MDM4NjQ0NjMgKDEp.jpg,701,2026-01-21
65,AVN Khổ Qua,24000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/TUFS/MDQ1NTcwMDUgKDIp.jpg,947,2025-12-05
66,AVN Bắp Cải Trắng Đà Lạt,12000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Rk9PRCZLSURfSEnhu4BO/MDMyNDUwODg=.jpg,959,2025-12-01
67,AVN Dưa Hấu Đỏ Loại 1,59000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/Tk9W/MDM2MjgwNTggKDEp.jpg,386,2026-06-01
68,Tam Nông Gà Ác,43000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNQ==/SkFO/MTAzMjU4NzIgKDEp.jpg,926,2026-05-03
69,AVN Thịt Cốt Lết Heo,60000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRCZLSUQ=/Q-G6qE0gVEjGrw==/SMOsbmggQm94ZWQgQm9zdW5n/MDA2MDY5NzQ=.jpg,851,2025-11-20
70,AVN Cần Tây Đà Lạt,22000,fresh food,https://catalog-assets-asia-southeast1.aeon-vn-prod.e.spresso.com/c3RvcmFnZS5nb29nbGVhcGlzLmNvbQ==/YWVvbnZpZXRuYW0tc3ByZXNzby1wdWJsaWM=/Rk9PRExJTkUgMjAyNA==/TUFS/MDY0OTE4OTU=.png,377,2026-01-30
